speexdsp 1.2.1-2
spirv-tools 1:1.4.357.0-1
spotify 1:1.2.96.518-2
sqlite 3.53.4-1
sratom 0.6.22-1
srt 1.5.7-1
starship 1.26.0-1
steam 1.0.0.87-3
steam-devices 1.0.0.87-3
sudo 1.9.17.p2-6
svt-av1 4.2.0-1
swappy 1.8.0-1
syndication 6.29.0-1
syntax-highlighting 6.29.0-1
system-config-printer 1.5.18-7
systemd 261.2-1
systemd-libs 261.2-1
systemd-sysvcompat 261.2-1
systemsettings 6.7.4-1
taglib 2.3.1-1
talloc 2.5.0-1
tar 1.35-5
tdb 1.4.15-1
tesseract 5.5.3-1
tesseract-data-eng 2:4.1.0-5
tesseract-data-osd 2:4.1.0-5
tevent 1:0.17.2-1
texinfo 7.3-1
tinysparql 3.11.1-1
tinyxml2 11.0.0-2
tomlplusplus 3.4.0-2
tpm2-tss 4.2.0-2
translate-shell 0.9.7.1-2
tslib 1.24-1
ttf-hack 3.003-7
ttf-jetbrains-mono-nerd 3.5.1-2
ttf-material-symbols-variable-git 4.0.0.r169.g84ccef28-1
ttf-readex-pro 1.204-2
ttf-rubik-vf 2.3.0-3
ttf-twemoji 17.0.2-3
tzdata 2026c-1
uchardet 0.0.8-4
udisks2 2.11.2-1
upower 1.91.3-1
usbutils 019-1
util-linux 2.42.2-1
util-linux-libs 2.42.2-1
uv 0.12.8-1
uwsm 0.26.7-1
v4l-utils 1.32.0-2
vapoursynth 77-2
vesktop 1.6.7-1
vesktop-debug 1.6.7-1
vid.stab 1.1.1-3
vim 9.2.1011-1
vim-runtime 9.2.1011-1
vmaf 3.2.0-1
volume_key 0.3.12-12
vscodium-bin 1.126.04524-2
vulkan-headers 1:1.4.357.0-1
vulkan-icd-loader 1.4.357.0-1
wayland 1.26.0-1
wayland-protocols 1.49-1
webrtc-audio-processing-1 1.3-5
wf-recorder 0.6.0-2
wget 1.25.0-6
which 2.25-1
wine 11.16-2
wireplumber 0.5.16-1
wl-clipboard 1:2.3.0-1
wlogout 1.2.2-0
wlogout-debug 1.2.2-0
woff2 1.0.2-6
wofi 1.5.3-1
wpa_supplicant 2:2.12-1
wtype 0.4-2
x264 3:0.165.r3222.b35605a-2
x265 4.3-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
